# loss loss_val
2.1899 2.2124
2.2176 2.2027
2.2395 2.2456
2.2450 2.2001
2.1420 2.1861
2.2498 2.1570
2.1520 2.2486
2.2543 2.1147
2.1681 2.2232
2.1969 2.2431
2.1702 2.2431
2.3142 2.2761
2.1994 2.2606
2.3156 2.2862
2.2168 2.2394
2.1813 2.2370
2.2289 2.1814
2.2389 2.2362
2.2267 2.2451
2.1997 2.2178
2.2335 2.3286
2.2384 2.1401
2.2211 2.2499
2.2062 2.2570
2.2385 2.2905
2.2434 2.2125
2.1977 2.1989
2.2135 2.2672
2.2582 2.2945
2.1994 2.3021
2.1447 2.2125
2.2089 2.2051
2.2148 2.2232
2.2533 2.2243
2.2525 2.2646
2.1703 2.1554
2.1618 2.2609
2.2029 2.2403
2.1742 2.2635
2.2048 2.1359
2.2128 2.2012
2.2024 2.2158
2.3202 2.2327
2.2694 2.0749
2.1975 2.3766
2.2360 2.1723
2.2418 2.2304
2.2310 2.3000
2.1758 2.2663
2.2183 2.2509
2.2124 2.2506
2.2590 2.2699
2.2663 2.2829
2.0963 2.2798
2.2884 2.2491
2.1589 2.2236
2.2264 2.1784
2.0912 2.2828
2.2136 2.1535
2.2538 2.2074
2.2091 2.1742
2.2408 2.1992
2.1694 2.2187
2.2130 2.2206
2.2384 2.1943
2.2400 2.1879
2.2627 2.2809
2.2486 2.2283
2.1937 2.2394
2.2070 2.1835
2.1894 2.2325
2.2173 2.3280
2.2075 2.2414
2.2467 2.2218
2.2123 2.1654
2.1607 2.1758
2.1779 2.2476
2.1916 2.2551
2.1702 2.2386
2.1788 2.1977
2.2647 2.2656
2.1947 2.2443
2.1887 2.2118
2.1814 2.2499
2.2462 2.2045
2.2056 2.2338
2.2137 2.1801
2.2307 2.1797
2.1734 2.1426
2.2820 2.1966
2.2143 2.1100
2.2909 2.2190
2.2506 2.2786
2.1616 2.1262
2.1736 2.2177
2.2008 2.1828
2.1104 2.2193
2.2375 2.2251
2.2038 2.2109
2.1390 2.2084
2.2318 2.1021
2.1989 2.2456
2.1821 2.2239
2.2765 2.3364
2.2374 2.2494
2.1872 2.2404
2.2113 2.1517
2.1200 2.2238
2.2344 2.2841
2.2929 2.2626
2.1707 2.2278
2.1640 2.2079
2.2104 2.2467
2.1739 2.1357
2.2589 2.2049
2.1847 2.1922
2.2196 2.2618
2.2530 2.2465
2.1929 2.2057
2.2217 2.2052
2.2313 2.2744
2.2366 2.1704
2.2090 2.1995
2.2340 2.2652
2.2424 2.2765
2.3318 2.2194
2.2548 2.2662
2.1398 2.1764
2.1360 2.2427
2.2103 2.2693
2.2052 2.1839
2.2066 2.2302
2.1850 2.2690
2.2236 2.2797
2.1910 2.1688
2.1359 2.2602
2.2831 2.2854
2.2519 2.2596
2.3504 2.2156
2.1929 2.2498
2.2346 2.2403
2.2565 2.1861
2.1764 2.2662
2.2259 2.1497
