# loss loss_val
6.2158 6.2691
6.2210 6.2866
6.2177 6.3687
6.3154 6.3505
6.2517 6.3093
6.2846 6.2571
6.2355 6.2884
6.3445 6.3296
6.1912 6.3100
6.2950 6.2638
6.2256 6.3312
6.2419 6.2389
6.2449 6.2976
6.2539 6.2176
6.3047 6.2712
6.2374 6.3188
6.2613 6.2608
6.2578 6.3279
6.2904 6.2632
6.2149 6.2815
6.2538 6.2669
6.2769 6.2136
6.2235 6.2673
6.2158 6.1857
6.2460 6.3024
6.2951 6.2891
6.2352 6.2654
6.2621 6.2593
6.2345 6.3197
6.2692 6.3311
6.2811 6.3087
6.1920 6.2295
6.2403 6.2300
6.2560 6.3259
6.3127 6.2251
6.2206 6.2400
6.2534 6.2755
6.2810 6.2087
6.2656 6.2466
6.2541 6.3007
6.2249 6.2259
6.2947 6.2396
6.1870 6.2625
6.2542 6.2341
6.2466 6.2060
6.2096 6.2871
6.2085 6.2382
6.2746 6.2861
6.2392 6.2207
6.2413 6.2640
6.2649 6.2614
6.2175 6.2299
6.2054 6.2162
6.2162 6.2847
6.2168 6.2114
6.2665 6.2724
6.1950 6.2769
6.2636 6.2568
6.2339 6.3049
6.2845 6.2854
6.2445 6.2432
6.2181 6.2562
6.3373 6.2789
6.1955 6.2700
6.2686 6.2038
6.2127 6.2154
6.2853 6.1759
6.2075 6.3233
6.1801 6.2607
6.2081 6.2372
6.2542 6.2315
6.2257 6.2481
6.2480 6.2639
6.1886 6.2208
6.2270 6.2106
6.2138 6.2833
6.2418 6.2389
6.1899 6.2342
6.1991 6.2933
6.2440 6.2163
6.2471 6.2451
6.2154 6.2390
6.2204 6.2515
6.2800 6.2291
6.2618 6.2241
6.1903 6.1985
6.2392 6.2536
6.1356 6.1322
6.2227 6.2274
6.3083 6.2778
6.2774 6.2817
6.2339 6.2647
6.2058 6.2386
6.1855 6.2363
6.3067 6.2419
6.2350 6.2612
6.2248 6.3031
6.2108 6.1768
6.2447 6.1978
6.2972 6.2366
6.1861 6.2050
6.2910 6.2557
6.2240 6.2121
6.2272 6.2267
6.2775 6.1842
6.2654 6.2734
6.1600 6.2025
6.2109 6.2430
6.1740 6.2043
6.2266 6.3065
6.1915 6.2033
6.2128 6.2330
6.2093 6.2582
6.2302 6.1923
6.2790 6.2193
6.2527 6.2309
6.1775 6.2273
6.2083 6.1831
6.2692 6.2578
6.2285 6.2141
6.2131 6.2130
6.2141 6.2395
6.1658 6.1960
6.2715 6.2085
6.2202 6.2394
6.1700 6.2262
6.2468 6.2462
6.2140 6.2401
6.1947 6.2775
6.2369 6.2286
6.2291 6.2704
6.2521 6.2445
6.2305 6.2626
6.2038 6.1885
6.1411 6.2371
6.1788 6.2152
6.2449 6.2501
6.2087 6.2058
6.2086 6.2804
6.2080 6.1740
6.1802 6.2249
6.2678 6.2479
6.1792 6.1813
6.1877 6.2275
6.1609 6.1909
6.1774 6.2625
6.1872 6.1916
6.1773 6.2535
6.2035 6.2049
6.2122 6.2199
6.1945 6.2437
6.2152 6.2126
6.2031 6.1660
6.1867 6.2026
6.1811 6.2650
6.2065 6.1666
6.1470 6.1350
6.2308 6.1919
6.2101 6.1801
6.1224 6.2545
6.1641 6.1996
6.1461 6.1988
6.2258 6.1986
6.1985 6.2145
6.2931 6.1950
6.1402 6.1781
6.2027 6.1610
6.1713 6.2345
6.2056 6.2124
6.1520 6.2220
6.1452 6.2335
6.2011 6.2468
6.1967 6.1898
6.1804 6.2081
6.1943 6.2255
6.1981 6.2124
6.1723 6.1907
6.1467 6.1883
6.2015 6.2293
6.2389 6.1622
6.2451 6.1735
6.1834 6.2305
6.2012 6.2046
6.2205 6.2015
6.1626 6.2096
6.2259 6.1802
6.2244 6.1938
6.2461 6.2250
6.1814 6.2264
6.2148 6.2225
6.2091 6.2707
6.2402 6.1437
6.2007 6.1629
6.2484 6.1647
6.1162 6.1774
6.2568 6.1945
6.1485 6.1888
6.1991 6.1810
6.1461 6.2456
6.2657 6.1845
6.1581 6.1705
6.1825 6.2160
6.1789 6.1916
6.1658 6.2196
6.1679 6.2109
6.1499 6.2038
6.2017 6.2091
6.1810 6.2091
6.1802 6.1732
6.2147 6.2630
6.1741 6.2680
6.2136 6.2884
6.1667 6.2779
6.2392 6.1278
6.1622 6.2368
6.1930 6.1553
6.2100 6.1705
6.1684 6.1922
6.1248 6.2210
6.1575 6.1878
6.1485 6.2162
6.2242 6.2081
6.1843 6.2041
6.2352 6.1734
6.2179 6.2028
6.1634 6.2149
6.1907 6.1876
6.1551 6.1994
6.1337 6.1197
6.1963 6.2310
6.1378 6.2225
6.1559 6.1911
6.1514 6.1854
6.2062 6.1649
6.2224 6.1791
6.2213 6.2719
